"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","21.0","3","EC1A 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC1A 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","21.0","3","EC1A 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","20.0","3","EC1M 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","19.0","3","EC1M 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","18.0","3","EC1M 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","20.0","3","EC1M 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC1M 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC1N 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","20.0","3","EC1N 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC1N 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","21.0","3","EC1N 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC1P 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC1R 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC1R 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC1R 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC1R 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC1R 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC1V 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC1V 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC1V 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC1V 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC1V 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","27.0","3","EC1V 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","3","EC1V 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC1V 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC1Y 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC1Y 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","27.0","3","EC1Y 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC1Y 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC1Y 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC1Y 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2A 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC2A 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC2A 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","EC2A 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC2M 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC2M 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC2M 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC2M 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","21.0","3","EC2M 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2M 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2M 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC2N 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC2N 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2N 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC2N 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC2P 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2R 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC2R 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","23.0","3","EC2R 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","27.0","3","EC2R 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC2V 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC2V 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","26.0","3","EC2V 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC2V 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2Y 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","EC2Y 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","24.0","3","EC2Y 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC3A 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC3A 2"," WC1E 6BT","10007784"
