"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","10.0","42.0","0","SW6"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","37.0","0","SW7"," WC1E 6BT","10007784"
"UCL  Main Campus","8.0","28.0","0","SW8"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","30.0","0","SW9"," WC1E 6BT","10007784"
"UCL  Main Campus","1.0","10.0","0","W1"," WC1E 6BT","10007784"
"UCL  Main Campus","6.0","24.0","0","W10"," WC1E 6BT","10007784"
"UCL  Main Campus","6.0","28.0","0","W11"," WC1E 6BT","10007784"
"UCL  Main Campus","8.0","27.0","0","W12"," WC1E 6BT","10007784"
"UCL  Main Campus","14.0","34.0","0","W13"," WC1E 6BT","10007784"
"UCL  Main Campus","10.0","7.1582781E7","0","W14"," WC1E 6BT","10007784"
"UCL  Main Campus","1.0","13.0","0","W1B"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","16.0","0","W1C"," WC1E 6BT","10007784"
"UCL  Main Campus","1.0","13.0","0","W1D"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","16.0","0","W1F"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","15.0","0","W1G"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","20.0","0","W1H"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","12.0","0","W1J"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","19.0","0","W1K"," WC1E 6BT","10007784"
"UCL  Main Campus","1.0","18.0","0","W1M"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","17.0","0","W1S"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","7.0","0","W1T"," WC1E 6BT","10007784"
"UCL  Main Campus","2.0","15.0","0","W1U"," WC1E 6BT","10007784"
"UCL  Main Campus","1.0","12.0","0","W1W"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","15.0","0","W2"," WC1E 6BT","10007784"
"UCL  Main Campus","10.0","7.1582785E7","0","W3"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","1.0","0","W4"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","33.0","0","W5"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","30.0","0","W6"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","40.0","0","W7"," WC1E 6BT","10007784"
"UCL  Main Campus","6.0","7.1582769E7","0","W8"," WC1E 6BT","10007784"
"UCL  Main Campus","5.0","30.0","0","W9"," WC1E 6BT","10007784"
